20 15

241	234	469	878	1062	505	981	261	495	527	1091	502	492	521	1018	
28467	36500	25724	39358	34464	38145	26827	10491	21942	15436	24604	10153	22382	28716	29895	

247	571	269	667	1035	1003	922	773	941	553	547	462	437	823	729	
31726	21538	29912	36299	19894	33811	40333	14664	17711	16868	37644	42757	22859	19741	10778	

816	790	488	240	564	646	790	270	806	293	929	884	956	666	631	
13035	11842	40106	18942	32648	33805	16729	25350	41101	13548	22623	29954	21840	17376	36308	

944	526	337	1018	629	533	339	404	677	373	721	1024	1070	877	797	
42439	21323	31538	12082	26541	41115	39658	19930	12306	32386	38745	29072	15829	25573	26512	

786	361	955	455	631	550	941	666	707	207	357	953	745	909	1021	
23290	28636	34767	25574	22052	11150	31724	13430	40191	21337	22287	20383	18909	19758	28588	

322	706	413	200	962	510	824	1048	795	202	591	574	296	548	968	
34946	23030	39168	42591	11655	16359	30537	16483	14041	34350	40836	21020	34021	33199	34484	

381	253	518	800	327	328	548	907	1010	513	1009	235	1000	519	498	
14734	11999	37938	13788	10467	24893	32483	12421	16617	19514	17616	27451	15249	41556	40303	

1024	644	789	695	593	1023	714	448	1058	980	598	889	309	872	738	
21008	42609	42702	30485	24343	11587	19503	35200	16618	29796	25281	30798	37157	33622	22292	

838	390	958	215	456	202	1072	728	462	1075	369	644	481	622	321	
34179	39657	16191	32888	21511	12634	30055	32646	14886	38433	30142	11416	41998	28651	15699	

1057	1092	775	1000	503	961	1001	1055	702	982	288	917	1032	769	721	
38476	34389	20712	12510	36869	24688	19789	26423	20585	20285	41426	33757	40932	12154	27189	

376	768	925	934	441	645	318	1039	279	687	249	266	393	797	586	
41329	38692	20555	26549	19512	28060	13753	22423	35996	22529	27437	22949	33195	30416	26105	

388	955	314	916	586	913	785	212	232	913	621	446	681	896	1029	
26282	35734	21701	30671	22263	34355	30053	20808	30945	37756	29558	37982	14144	30222	12161	

335	573	544	392	353	254	445	786	1074	568	987	1058	502	577	514	
30450	20466	31659	36439	30024	39510	30649	18313	38022	24018	19905	17391	13625	14414	35824	

734	272	333	487	518	873	1063	292	602	613	502	1027	843	423	661	
35874	30159	38070	38297	18177	42270	12668	23985	18480	17627	14099	12625	11924	39972	24181	

603	605	425	592	322	664	487	1013	970	435	1011	1096	285	340	1095	
37432	37593	23031	10142	41286	17900	18360	40974	39170	40833	35760	14667	22550	23694	31624	

319	676	358	471	378	651	318	619	300	660	210	870	776	543	1064	
12125	31694	36302	32466	32593	35484	38464	33152	28087	11926	14757	30315	40227	32758	15109	

882	965	977	1025	429	423	802	323	337	495	564	1002	730	411	311	
27086	13487	24474	35627	41928	38520	24962	34596	23261	42525	18260	18116	30326	40771	35547	

653	290	688	640	862	500	258	465	877	1058	703	657	377	613	201	
31520	24924	31763	30851	23829	27713	27578	23007	11200	16439	22760	12324	15108	24887	32850	

260	593	705	711	435	872	1023	956	926	626	737	669	496	1017	317	
32428	37384	16540	38704	42356	39350	24485	33216	19357	23357	33271	39361	23022	20112	28696	

985	323	1029	459	896	553	1084	554	957	232	1007	211	367	375	623	
34041	34129	14565	18932	39855	26962	39734	26972	24369	12963	12483	21635	32848	22938	32142
